github_number,additions,deletions,changed_files
1010,1,1,1
1271,2,1,1
1108,345,3,8
1012,544,1,3
1014,1,1,1
1141,1,0,1
1015,142,129,74
1018,6,4,1
1016,137,127,73
1116,10,11,1
1020,1,1,1
1023,10836,436,426
1022,2372,0,3
1025,7711,12,19
1024,30,65,26
1093,1,1,1
1046,1,1,1
1524,103,109,2
1026,215,211,8
1029,14,11,2
1034,8,0,1
1038,1,1,1
1036,123,0,1
1039,1,1,1
1041,16,0,2
1045,6,75,5
1048,3,2,1
1049,2,2,1
1056,5,1,1
1073,5063,346,125
1054,12,56,8
1055,25,7,2
1058,116,36,11
1060,3,3,3
1061,5,14,14
1070,3,3,1
1076,10,3,1
1075,1,1,1
1074,2,77,4
1065,15,0,1
1066,10,0,2
1095,110663,10,358
1067,14,2,1
1077,0,5,1
1068,1202,1079,83
1069,23,5,3
1119,25,2,2
1072,839,24,22
1078,63,0,2
1079,1,37,2
1081,1,1,1
1086,1,1,1
6375,1,1,1
1092,8,8,7
1099,6,1,1
1097,10,2,2
1101,74,0,2
1157,14,51,2
1114,5,3,1
1115,24,3,5
1120,75,6,3
1121,23,16,2
1124,1,1,1
1127,2,2,1
3692,7,31,1
1128,2,2,1
1131,14,4,2
1146,2,2,1
1144,159,20,2
1137,12,3,3
1235,4,0,1
2126,12,8,6
1196,81,5,3
1133,13,14,2
1164,6,2585,25
1135,0,2118,16
1138,373,0,5
1147,86,0,2
1152,1,1,1
1153,6,4,1
1204,412,224,1
1158,5,4,2
1159,1,1,1
1165,1163,0,10
1184,269,392,128
1266,174,102,7
1197,2,32,2
1170,1198,788,391
9302,3370,1152,118
1219,110,0,2
2566,14,1,2
1261,136,11,6
1174,0,2,1
1190,3589,730,31
1187,3585,724,31
1256,3568,728,33
1176,3585,724,34
1178,4,3,1
1179,101,10,2
1233,22,0,2
1182,9,0,1
1183,30,2,1
1186,10,101,2
1188,2,2,2
1189,8,3,1
1761,684,639,7
1201,118,131,9
1194,102,73,9
1785,3,3,2
1783,489,129,16
1220,3,0,1
1977,6,2,1
1199,24,3,2
1213,7,7,3
1202,97,72,5
1205,2,2,2
1203,2,0,1
1206,38,22,3
1210,7,96,4
5021,5,120,1
1211,6,1,1
1212,20,2,3
1223,1,1,1
