github_number,additions,deletions,changed_files
9986,147,0,2
12003,661,84,20
7939,1595,0,24
8659,1512,0,22
9965,3257,1,33
10245,961,68,14
10246,80,0,3
10602,114,29,5
10642,121,35,6
10644,115,29,5
10645,124,35,6
7145,19,41,1
7938,313,99,23
7186,169,8,11
8201,371,88,21
7146,194,324,1
7148,6,0,1
7649,7,0,2
7255,499,29,14
7252,526,34,12
7250,526,34,12
7154,3,1,1
7204,3,1,1
191,2,312,2
238,2,35,2
7149,6,3,1
7151,100,0,1
7150,101,1,1
7152,129,11,3
117,16,18,2
7160,448,27,12
7161,629,183,22
7265,258,11,4
7156,6,6,5
9985,98,48,5
121,84,4,6
7167,315,3,10
7196,335,6,9
7235,837,18,12
8311,783,60,13
7209,4739,1377,62
8230,3690,911,50
7158,4,4,1
7159,3,2,1
8225,102,1795,35
7166,232,163,11
7173,696,396,18
7191,15006,214,153
7165,16,1,2
7162,4,4,2
7164,48,23,2
9826,34,38,3
7713,675,285,23
7543,59,5,3
7170,38,2,2
7169,0,217,5
7289,73,23,8
7174,1,1,1
7175,3,3,1
7176,8,19,1
7351,518,163,15
7178,599,80,17
7180,43,0,2
7224,12,4,1
7222,12,4,1
7223,12,4,1
7216,12,4,1
7384,428,292,12
7181,77,0,2
7182,11,4392,45
7200,40,9,2
7277,10246,293,142
7246,1016,435,22
7442,58,4,8
7342,46,0,2
7193,29,0,4
7341,363,232,12
7251,172,122,5
7198,1,1,1
7584,31,1,1
7493,192,58,10
7202,582,4,12
7205,2,2,1
7753,41,32,1
7268,3,1,1
7206,194,193,9
7208,28,28,1
7213,10,10,1
10385,1,1,1
7576,157,11,6
7218,5,1,1
7217,5,1,1
7559,1,0,1
7249,167,43,2
7214,235,44,15
347,912,1,6
7226,137,1,12
8359,2971,701,40
7418,8,6,1
7225,1,488,2
7227,433,81,12
144,150,6,22
7229,5,1,1
7587,658,88,883
7409,662,162,874
8050,4012,3045,142
8006,1915,1513,32
7245,74,124,9
131,76,5,3
7436,79,0,2
7329,873,472,16
7239,1186,416,27
7422,1223,363,27
7253,195,13,3
7243,2,101,23
7343,8,0,1
7247,43,15,1
7263,119,43,16
7911,88,20,2
7267,84,4,2
7258,121,6,5
7261,2,1,1
11983,721,451,51
7256,55,49,7
7702,259,88,12
7257,2,1,1
7274,16,31,6
7837,174,158,21
7264,1229,579,18
139,4338,520,120
7298,5,4,4
7292,23,3,1
15938,229,0,7
7527,5,3751,29
7281,32,73,2
7313,98,33,5
7379,2,2,1
209,867,40,10
8746,57,4,4
7273,217,70,7
7269,2,0,1
7271,1,1,1
7294,63,3,2
7895,171,3,4
178,9120,169,12
7346,47,59,3
7314,154,39,2
7284,20,4,2
7290,180,4,2
7287,78,7,3
7352,8,2,1
7293,43,19,1
7278,14,14,1
7762,47,765,14
8669,1328,88,5
7300,23,0,3
7299,9,4,2
8041,10,4679,26
7445,23,9,2
8040,64,10,4
7302,63,35,2
7441,100,73,8
8410,510,95,32
7301,253,1,3
7325,963,10,17
7345,185,135,1
7601,117,41,3
7308,1,1,1
7421,2,2,1
7317,2,2,1
7312,2,1,1
7320,700,184,14
7374,2,2,1
7340,39,2,6
7322,621,798,5
7315,57,7,2
7327,2,0,1
7316,7,0,2
7850,83,14,3
7842,0,2,1
7460,32,39,8
7350,1,4,1
7328,74,3,2
7330,13,10,1
8479,57,8,2
7336,1,14,1
7332,0,0,0
7334,12,0,12
7339,18,5,2
7348,7,7,5
7354,635,59,13
7358,1,2,1
7362,1,1,1
7371,16,5,1
7435,46,0,2
7373,44,5,2
7383,1,1,1
7386,11,5,2
7387,10,0,2
7389,38,20,7
7390,439,20,16
7392,607,21,19
7394,2,2,2
7405,354,4,4
7930,512,4,10
7604,2190,1,72
7677,572,247,22
17187,136,73,4
7396,12,0,2
7398,35,2,3
7414,52,36,1
7403,55,40,6
7404,2,0,1
7406,4,4,1
786,27,0,1
7407,2,2,1
7408,3,3,3
7410,1,3,2
7417,27,30,19
7451,80,79,11
7454,18,18,1
7420,28,8,3
7437,111,3,1
7426,6,1,2
7429,24,14,4
7428,27,35,5
7438,155,219,9
7470,1337,164,13
8538,1246,72,17
7433,2,2,2
7434,3,7,2
7455,0,627,9
7533,697,40,12
7444,288,78,9
7456,348,82,11
7475,35,9,1
7520,18,2,1
7447,18,29,2
7512,43,41,8
7450,277,3,11
7457,6,2,1
7458,23,2,2
7466,19,7,1
7477,18,6,1
7537,513,181,45
8105,598,184,45
7483,89,53,5
7492,1,2,1
7478,1,1,1
7486,29,499,3
7877,42,1,2
7487,18,6,2
7548,148,28,8
7566,231,86,9
7553,1313,879,174
7562,86,30,2
7590,1094,292,53
137,78,20,2
7734,209,41,9
7765,346,96,11
7766,196,48,9
7710,250,69,9
7880,341,29,4
7497,5,5,2
7498,4,4,1
7499,4,4,1
7500,1,1,1
7501,14,1,1
7506,6,9,1
7538,4,7,1
7514,160,244,3
7513,0,163,1
7524,345,312,6
7647,183,606,2
7526,89,483,5
7539,493,700,17
7540,0,246,1
7541,142,217,4
7554,0,158,1
7756,451,521,31
7567,1135,477,28
7517,0,92,1
145,77,50,34
7516,24,204,2
7632,75,217,2
7525,27,52,2
7595,221,221,3
7676,473,677,9
7577,0,205,1
7544,27,175,2
7653,164,414,7
7600,205,275,2
7592,0,183,1
7613,37,302,5
7511,5,4,1
7521,116,49,10
7555,1,1,1
7644,82,104,8
7519,3,3,1
7797,185,4,3
7617,3,3,1
7535,39,18,3
7523,69,8,3
7623,0,180,1
7798,2676,537,41
7532,23,3,2
173,325,62,14
157,4,2,2
7546,467,217,7
8362,1818,1060,40
7631,480,294,30
8608,1175,869,63
11385,522,0,5
7565,680,200,21
7549,305,208,13
11436,29,9,3
7552,462,36,11
9859,285,12,8
7557,41,6,2
7591,3,1585,6
7667,139,38,3
7563,110,40,4
7564,455,158,17
7568,1893,1403,55
7575,6,5,2
7588,12,4,1
7954,96,3,2
7873,22,14,2
7953,104,19,3
7894,543,271,25
7872,563,289,26
7951,104,19,3
8397,585,15,14
7680,474,15,12
7573,1,1,1
7582,11,2,1
11326,364,3,8
153,210,52,43
8036,43,32,8
7602,0,239,1
7580,294,14,4
7593,45,32,18
7599,1,1,1
7622,842,764,89
7651,484,185,19
7664,4772,2118,125
7967,2179,2056,89
7626,456,404,21
7621,155,94,5
7678,2173,8,14
8052,2808,202,71
7611,0,77,1
7610,0,105,1
10106,2739,331,55
7605,2743,329,55
10042,2005,59,25
7603,9,13,1
315,366,46,4
7608,7,5,1
8007,2074,0,21
7643,0,0,0
8214,646,9,9
8404,2689,358,60
152,26,11,1
8785,293,15,12
7612,45,83,3
7759,2678,481,20
7683,195,266,7
7618,520,0,7
10239,26188,0,257
7624,0,207,1
146,1,0,1
7679,533,15,12
8081,536,15,12
7627,0,107,1
7635,0,677,3
7633,0,107,1
7634,0,157,1
147,265,1,47
7638,405,1,4
7636,286,16,3
7637,0,951,6
7659,379,589,4
7661,77,180,2
7642,1093,973,29
8222,1172,23,14
8275,575,12,9
8212,0,0,0
151,94,80,4
7645,363,97,19
7650,3,0,1
11695,49,1,2
10553,23,1,2
10444,38,2,2
7654,95,7,5
7754,56609,10,163
8231,22,25,2
7875,648,49,14
7717,648,49,14
8188,83,2,2
7652,19,0,3
7917,333,260,25
7655,457,106,48
233,48,5,8
208,34,5,8
7768,31,27,5
7687,76,37,4
7670,104,15,10
7668,149,27,8
7764,101,45,15
12916,2,1,1
7666,13,223,3
7671,0,226,1
7665,615,439,43
7669,16,20,1
7672,234,3,5
7814,1787,1742,49
246,125,74,5
7709,426,269,6
7697,212,251,5
7682,140,6,3
7685,3,2,3
7686,66,8,2
7689,645,1060,13
7690,369,361,11
7696,278,32,7
7703,686,149,39
10836,875,95,26
1704,2827,5,36
7695,111,25,6
7693,119,285,8
7780,1536,2371,8
7725,208,817,6
7698,0,607,1
7927,470,625,48
7704,214,130,13
10297,68,119,1
8750,24,52,1
7803,32,61,1
7751,288,0,1
7714,87,0,1
8384,11,13,1
8273,81,83,1
8799,78,90,1
7799,61,70,1
7752,221,0,1
8200,59,98,1
7706,6,6,1
7711,879,369,21
7716,108,3,2
9072,375,83,3
7757,55,9,1
9147,81,36,3
7745,52,12,3
8341,142,250,2
16522,55,85,1
7728,7,4,1
9805,69,81,1
8319,40,51,1
8943,18,38,1
8300,75,83,1
7750,312,7,5
160,372,107,8
7609,20,9,4
7731,53,3713,22
7730,0,48,1
7733,55,3941,24
7735,57,4101,25
320,23,15,6
7736,65,5187,32
7796,1,1,1
7743,7,1924,16
7747,79,1,4
7760,24,47,3
7771,8,27,2
7773,8,27,2
366,180,2,3
8745,143,255,13
7755,55,7,3
7889,210,74,3
7811,116,0,1
7812,92,0,1
7767,17,4,6
7699,0,119,1
7769,428,645,34
7790,387,8,9
264,564,379,68
7772,970,0,8
7789,3,5,5
7778,2,2,2
7775,0,3,1
7776,1,1,1
7774,2,15,1
7788,1,1,1
7779,51,43,17
7968,63,6,4
7782,1246,450,41
8535,404,106,17
7942,89,18,11
7805,230,0,5
7810,225,0,5
7783,1,1,1
158,154,33,13
7816,3540,0,18
7817,1262,0,23
7923,1893,0,14
7851,26108,2118,229
7784,41,87,3
7786,124,0,3
7785,36,23,13
7809,108,102,17
7838,456,0,6
7792,0,46,5
7793,2,20,5
7836,613,0,5
