github_number,additions,deletions,changed_files
2924,15,7,3
2921,6,0,1
2923,1,1,1
2849,1,1,1
2930,6,8,1
2934,4,5,1
2931,69,3,2
2935,5,0,1
2933,31,8,3
2936,142,116,4
2949,290,180,16
2941,20,0,1
2942,16,37,2
2938,975,929,27
2939,103,72,3
2965,1,1,1
2952,704,814,75
2940,58,91,10
2990,19,15,2
2944,1,0,1
2946,29,10,4
2948,54,328,21
2968,17,7,5
3200,3,1,2
3177,792,105,32
3067,94,35,11
2951,1,1,1
3192,348,40,8
3208,1,1,1
2961,2,1,1
2958,213,10,4
2954,11,10,1
2953,11,20,1
2962,10,11,1
2963,2,1,1
2964,3,0,1
3004,0,1,1
3002,1,0,1
3005,641,722,11
2971,722,641,11
2978,110,5,1
2981,30,11,1
2973,534,238,15
2983,33,16,2
2985,1,3,2
2987,20,29,2
2966,50,146,12
2972,1,0,1
2976,29,23,1
2974,359,1,6
2977,2,1,1
2975,8,11,4
3065,814,745,11
2980,27,27,7
3016,433,455,56
2982,27,25,1
2984,185,59,9
3051,42,11,1
2988,3,5,1
3009,24,13,1
3007,18,10,1
3013,1,1,1
3003,37,24,2
3014,10,20,3
2989,4,1,1
2991,15,0,2
2994,0,0,2
2995,29,9,6
2998,6,5,3
3017,18,14,2
3000,509,383,38
3050,5,3,1
3001,20,0,4
3021,4,0,2
2999,72,5,5
3020,3,3,3
3008,1,1,1
3075,905,184,29
3010,27,20,6
3012,0,3,1
3015,7,10,4
3018,37,28,3
3019,317,218,51
3023,77,48,6
3034,21,0,1
3052,11,0,5
3026,5,3,1
3027,67,28,3
3039,497,239,30
3041,52,53,3
3042,50,49,3
3229,1,1,1
3028,36,23,4
3029,261,259,12
3030,3,1,1
3031,200,178,9
3036,271,221,10
3032,8,8,3
3105,3,1,1
3102,34,5,2
3045,2,2,1
3066,11,10,1
3035,1,1,1
3033,23,3,2
3296,6,6,1
3295,26,20,2
3272,827,40,7
3044,42,5,2
3037,23,11,3
3038,4,0,1
3043,20,22,1
3040,11,5,1
3047,46,170,96
3006,826,869,16
3048,30,25,3
3049,41,19,20
3076,70,32,5
3058,3,2,1
3053,51,30,2
3056,77,35,4
3054,24,14,3
3061,18,17,3
3055,8,7,1
3057,6,2,1
3063,4,4,1
3060,58,40,1
3064,39,47,3
3069,140,36,7
3068,110,57,11
3077,4,2,1
3070,14,12,3
3084,4,4,1
3071,38,36,1
3072,4,4,5
3073,16,6,1
3074,14,15,6
3098,46,43,5
3078,11,4,1
3079,3,7,1
3083,981,897,63
3080,145,218,34
3082,14,1,7
3081,10,11,1
3111,5,2,1
3088,39,12,2
3094,22,18,4
3086,531,258,15
3085,18,78,30
3087,13,13,3
3171,85,51,7
3089,84,3,3
3145,1,0,1
3137,270,222,14
3090,4,7,1
3123,14,20,1
3112,4,4,1
3091,2,11,1
3108,6,2,2
3127,8,3,1
3101,218,60,9
3160,384,285,40
3092,164,128,8
3093,46,4,4
3435,1527,355,55
3438,2,3,2
3406,1527,355,55
3409,140,10,4
3410,231,8,5
3429,20,14,2
3434,355,1527,55
3095,60,68,6
3107,78,30,9
3114,1,1,1
3096,250,201,6
3097,1,18,1
3320,456,0,2
3144,74,43,10
3100,93,44,2
3103,73,12,2
3104,9,0,1
3109,33,2,1
3342,6,3,1
3106,1,2,1
3204,440,210,8
3110,362,187,37
3117,2,0,1
3122,171,0,2
3153,1007,117,7
3139,125,37,4
3115,486,479,8
3116,97,13,6
3121,44,65,3
3124,8,6,1
3119,34,34,11
3120,123,0,1
3118,1,1,1
3129,0,0,9
3130,0,0,9
3131,0,0,2
3128,97,0,9
3133,10,0,2
3132,1,2,1
3134,7,0,1
3135,14,17,2
3143,21,12,1
3136,61,16,4
3138,935,871,28
3146,1,1,1
3140,5,2,1
3141,18,4,1
3142,1,23,13
3147,10,12,1
3150,82,77,4
3148,26,22,5
3151,41,22,5
3152,5,1,2
3154,3,1,1
3156,34,16,5
3159,124,58,8
3158,9,13,2
3167,21,12,1
3157,11,10,2
3168,2,2,1
3173,2,2,1
3169,2,2,1
3170,2,2,1
3161,74,9,6
3163,6,7,1
3165,8,4,2
3240,34,25,8
3489,15,15,6
3213,1398,333,38
3488,3,0,1
3385,0,70,1
3518,84,81,7
3164,5,4,3
3162,2433,1057,22
3172,17,12,5
3166,53,47,2
3178,19,32,8
3174,32,19,8
3179,11,11,1
3176,1,0,1
3175,11,0,1
3182,6,4,1
3186,134,6,4
3181,63,69,9
3184,29,17,2
3188,791,281,42
3352,810,320,46
3185,3,1,3
3189,58,46,14
3190,5,0,1
3202,1,1,1
3193,19,9,3
3195,77,23,2
3194,30,29,2
3887,20,0,1
3196,11,6,4
3362,476,245,28
3197,0,0,0
3198,6,3,1
3857,85,44,3
3822,80,48,3
3870,0,7,1
3199,3,3,1
3201,4,0,1
3206,15,12,8
3224,461,44,3
3250,0,1,1
3205,12,4,2
3214,159,31,2
3217,1,4,2
3280,47,42,5
3210,2,1,1
3211,5,3,4
3216,3,6,1
3212,328,382,57
3253,237,193,27
3218,20,20,5
3219,97,26,3
3228,1,1,1
3221,2,2,2
3252,13,3,3
3237,6,28,2
3242,27,10,2
3227,171,0,8
3226,5,2,1
3231,1,1,1
3232,199,0,3
3279,158,174,24
3235,60,35,2
3233,33,3,3
3234,305,301,11
3238,18,9,4
3236,359,297,30
3246,7,8,1
3248,13,1,1
3262,4,4,1
3261,51,29,4
3239,837,20,9
3241,207,497,34
3247,30,12,10
3282,120,87,5
3286,221,167,4
3287,90,86,4
3267,220,166,4
3243,2,2,1
3244,16,0,2
3245,1,4,1
3256,12,12,1
3249,5,0,2
3757,115,87,18
3778,750,36,36
3371,925,61,39
3251,65,74,3
3292,1,1,1
3254,398,6,7
3340,893,671,84
3348,1,1,1
3347,10,2,2
3223,156,44,2
3266,5,5,2
3269,707,327,11
3270,106,144,6
3268,183,48,7
3474,219,15,4
3513,8,8,3
3420,151,7,8
3407,0,3532,21
3421,10,1,1
3255,3532,0,21
3408,3550,5,23
3257,2,6,1
3289,144,58,4
3260,2,1,1
3258,5,9,2
3259,28,2,1
3264,106,24,4
3309,0,3,1
3285,454,412,6
3302,26,12,1
3305,37,20,2
3265,16,3,1
3276,3,1,1
3291,106,53,10
3344,114,58,12
3271,4,4,1
3273,126,87,2
3275,14,18,1
3274,18,9,1
3281,13,19,1
3422,1,1,1
3411,610,336,44
3414,94,38,14
3415,14,1,2
3416,7,5,2
3417,3,2,1
3357,36,25,4
3278,6,1,1
3283,12,1,1
3425,178,71,10
3288,40,44,1
3284,103,121,5
3290,24,6,2
3293,13,13,2
3294,23,18,1
3299,1004,240,27
3301,8,4,1
3300,5,1,1
3298,18,11,1
3476,1,1,1
3477,2,2,1
3373,1660,359,59
3473,1,1,1
3314,1,1,1
3313,40,34,9
3303,181,5,5
3304,10,3,3
3306,43,13,1
3307,16,5,2
3308,10,0,1
3324,250,201,5
3310,86,121,25
3312,3,2,1
3316,82,85,4
3311,171,132,14
3315,8,2,1
3336,3,66,1
3381,6,7,2
3380,2,2,2
3317,79,42,6
3690,3,0,1
3341,16,1,3
3322,4,0,1
3318,53,64,7
3325,130,112,8
3332,48,23,1
3329,50,63,8
3350,5,1,1
3326,34,12,4
3319,247,208,7
3356,39,9,4
3321,960,494,26
3327,7,3,1
3323,1,1,1
3328,304,313,51
3331,27,0,2
3334,1,1,1
3400,19,6,4
3369,240,154,7
3730,166,105,10
3659,70,1,4
3444,71,4,5
3335,12,12,5
3333,14,1,3
3338,6,6,6
3339,59,26,3
3343,202,4,3
3678,460,327,137
3677,378,210,110
3345,4,18,2
3748,1,1,1
3351,162,4,4
3355,186,1,4
3354,25,21,6
3360,221,192,7
3359,8,0,1
3361,6,6,2
3367,3,5,1
3441,17,32,1
3365,21,15,3
3363,3,0,1
3364,19,35,2
3468,181,226,1
3469,226,181,1
3453,226,181,1
3640,738,1054,6
3368,12,3,3
3366,1,1,1
3718,118,0,1
3428,262,209,5
3370,54,65,8
3376,11,6,1
3384,28,18,6
3419,234,15,7
3372,6,1,1
3375,19,1,1
3374,685,625,615
3378,119,99,15
3377,67,78,17
3379,19,17,1
3388,26,4,1
4152,573,57,13
3382,1,0,1
3383,62,44,2
3387,97,81,4
3396,15,14,3
3853,52,58,5
3389,52,58,5
3390,7,13,2
3391,44,36,7
3393,57,38,2
3392,66,48,2
3403,1,1,1
3395,41,37,11
3398,780,783,4
3399,264,77,12
3658,43,27,1
3716,234,78,7
3397,183,52,6
3404,73,32,9
3401,4,1,1
3405,35,19,6
3839,22,9,3
3426,22,9,3
3445,7,2,1
3496,127,42,11
3501,13,4,2
3439,488,302,16
3412,18,6,3
3413,5,7,1
3423,4,5,1
3418,32,13,4
3521,212,1,9
3433,543,3,3
3424,9,8,1
3427,184,149,8
3594,34,14,5
3442,8,31,3
3430,21,8,2
3448,9,0,5
3432,50,1,3
3431,5,6,1
3535,17,16,16
3470,16,16,15
3437,2109,712,38
3436,23,19,5
3440,12422,6073,366
3443,5,4,1
3446,567,319,40
3450,142,4,6
3449,92,83,14
3457,249,153,10
3458,144,175,31
3675,2,3,1
3452,1,1,1
3451,9,7,4
3461,168,194,7
3454,51,30,1
3582,22,8,2
3456,260,354,29
3459,55,37,2
3462,739,50,12
3485,24,15,10
3592,74,9,5
